ObvservationNum,Species,Coordinates,Coord_Lat,Coord_long
199, White-tailed Deer,"(38.0606782, -78.47191843350623)",38.0606782,-78.47191843
94, White-tailed Deer,"(38.0844043, -97.9037688)",38.0844043,-97.9037688
14, White-tailed Deer,"(38.08718645, -75.20999471221393)",38.08718645,-75.20999471
497, White-tailed Deer,"(38.2153476, -85.5857931)",38.2153476,-85.5857931
5, White-tailed Deer,"(38.2207112, -90.3959504)",38.2207112,-90.3959504
139, White-tailed Deer,"(38.2542376, -85.759407)",38.2542376,-85.759407
731, White-tailed Deer,"(38.2776401, -84.5816131)",38.2776401,-84.5816131
500, White-tailed Deer,"(38.368429, -81.69957)",38.368429,-81.69957
367, White-tailed Deer,"(38.611608, -77.279814)",38.611608,-77.279814
236, White-tailed Deer,"(38.7061812, -108.70452356963199)",38.7061812,-108.7045236
472, White-tailed Deer,"(38.749706, -76.9727655898107)",38.749706,-76.97276559
784, White-tailed Deer,"(38.7628026, -93.7410171)",38.7628026,-93.7410171
794, White-tailed Deer,"(38.80225849999999, -77.20869110987762)",38.8022585,-77.20869111
34, White-tailed Deer,"(38.8184463, -77.1174791)",38.8184463,-77.1174791
617, White-tailed Deer,"(38.88454, -77.27517888804084)",38.88454,-77.27517889
382, Columbian White-tailed Deer,"(38.8949924, -77.0365581)",38.8949924,-77.0365581
381, Columbian White-tailed Deer,"(38.8949924, -77.0365581)",38.8949924,-77.0365581
285, White-tailed Deer,"(38.89541, -77.06220191333591)",38.89541,-77.06220191
917, White-tailed Deer,"(38.9006622, -77.2473852)",38.9006622,-77.2473852
918, White-tailed Deer,"(38.9006622, -77.2473852)",38.9006622,-77.2473852
508, White-tailed Deer,"(38.926099, -77.157702)",38.926099,-77.157702
654, White-tailed Deer,"(38.93271795, -77.10836064568528)",38.93271795,-77.10836065
266, White-tailed Deer,"(38.933431, -74.9214226)",38.933431,-74.9214226
588, White-tailed Deer,"(38.937206, -95.36989099441706)",38.937206,-95.36989099
403, White-tailed Deer,"(38.940113, -76.4949597)",38.940113,-76.4949597
907, White-tailed Deer,"(38.955696, -77.34188283719988)",38.955696,-77.34188284
853, White-tailed Deer,"(38.955696, -77.34188283719988)",38.955696,-77.34188284
772, White-tailed Deer,"(38.955696, -77.34188283719988)",38.955696,-77.34188284
360, White-tailed Deer,"(38.9720548, -77.0463661)",38.9720548,-77.0463661
492, White-tailed Deer,"(38.9722583, -76.573454)",38.9722583,-76.573454
938, White-tailed Deer,"(38.9939991, -76.9105292)",38.9939991,-76.9105292
402, White-tailed Deer,"(39.0086694, -77.0986505)",39.0086694,-77.0986505
65, White-tailed Deer,"(39.0114986, -77.0591441)",39.0114986,-77.0591441
66, White-tailed Deer,"(39.0114986, -77.0591441)",39.0114986,-77.0591441
67, White-tailed Deer,"(39.0114986, -77.0591441)",39.0114986,-77.0591441
68, White-tailed Deer,"(39.0114986, -77.0591441)",39.0114986,-77.0591441
561, White-tailed Deer,"(39.0505411, -122.7776556)",39.0505411,-122.7776556
686, White-tailed Deer,"(39.061768, -79.9714656)",39.061768,-79.9714656
681, White-tailed Deer,"(39.09083745, -77.07704917639975)",39.09083745,-77.07704918
647, White-tailed Deer,"(39.0984586, -77.6705008)",39.0984586,-77.6705008
595, White-tailed Deer,"(39.1406267, -77.2075612)",39.1406267,-77.2075612
785, White-tailed Deer,"(39.1406267, -77.2075612)",39.1406267,-77.2075612
90, White-tailed Deer,"(39.1406267, -77.2075612)",39.1406267,-77.2075612
91, White-tailed Deer,"(39.1406267, -77.2075612)",39.1406267,-77.2075612
92, White-tailed Deer,"(39.1406267, -77.2075612)",39.1406267,-77.2075612
98, White-tailed Deer,"(39.1406267, -77.2075612)",39.1406267,-77.2075612
