ObvservationNum,Species,Coordinates,Coord_Lat,Coord_long
328, Polar Bear,"(49.75250235, -94.4786833962917)",49.75250235,-94.4786834
331, Polar Bear,"(49.75250235, -94.4786833962917)",49.75250235,-94.4786834
332, Polar Bear,"(49.75250235, -94.4786833962917)",49.75250235,-94.4786834
343, Polar Bear,"(49.75250235, -94.4786833962917)",49.75250235,-94.4786834
344, Polar Bear,"(49.75250235, -94.4786833962917)",49.75250235,-94.4786834
345, Polar Bear,"(49.75250235, -94.4786833962917)",49.75250235,-94.4786834
346, Polar Bear,"(49.75250235, -94.4786833962917)",49.75250235,-94.4786834
322, Polar Bear,"(49.75250235, -94.4786833962917)",49.75250235,-94.4786834
321, Polar Bear,"(49.75250235, -94.4786833962917)",49.75250235,-94.4786834
297, Polar Bear,"(49.75250235, -94.4786833962917)",49.75250235,-94.4786834
309, Polar Bear,"(49.75250235, -94.4786833962917)",49.75250235,-94.4786834
310, Polar Bear,"(49.75250235, -94.4786833962917)",49.75250235,-94.4786834
176, Polar Bear,"(50.000678, -86.000977)",50.000678,-86.000977
619, Polar Bear,"(53.8217327, -61.2295532)",53.8217327,-61.2295532
666, Polar Bear,"(53.8217327, -61.2295532)",53.8217327,-61.2295532
524, Polar Bear,"(53.8217327, -61.2295532)",53.8217327,-61.2295532
571, Polar Bear,"(53.8217327, -61.2295532)",53.8217327,-61.2295532
856, Polar Bear,"(53.8217327, -61.2295532)",53.8217327,-61.2295532
904, Polar Bear,"(53.8217327, -61.2295532)",53.8217327,-61.2295532
714, Polar Bear,"(53.8217327, -61.2295532)",53.8217327,-61.2295532
761, Polar Bear,"(53.8217327, -61.2295532)",53.8217327,-61.2295532
809, Polar Bear,"(53.8217327, -61.2295532)",53.8217327,-61.2295532
595, Polar Bear,"(61.0666922, -107.991707)",61.0666922,-107.991707
602, Polar Bear,"(61.0666922, -107.991707)",61.0666922,-107.991707
690, Polar Bear,"(61.0666922, -107.991707)",61.0666922,-107.991707
697, Polar Bear,"(61.0666922, -107.991707)",61.0666922,-107.991707
500, Polar Bear,"(61.0666922, -107.991707)",61.0666922,-107.991707
507, Polar Bear,"(61.0666922, -107.991707)",61.0666922,-107.991707
880, Polar Bear,"(61.0666922, -107.991707)",61.0666922,-107.991707
887, Polar Bear,"(61.0666922, -107.991707)",61.0666922,-107.991707
792, Polar Bear,"(61.0666922, -107.991707)",61.0666922,-107.991707
785, Polar Bear,"(61.0666922, -107.991707)",61.0666922,-107.991707
123, Polar Bear,"(61.0666922, -107.991707)",61.0666922,-107.991707
265, Polar Bear,"(63.5511048, -92.6471525)",63.5511048,-92.6471525
266, Polar Bear,"(63.5511048, -92.6471525)",63.5511048,-92.6471525
588, Polar Bear,"(63.7485936, -68.5272223668442)",63.7485936,-68.52722237
589, Polar Bear,"(63.7485936, -68.5272223668442)",63.7485936,-68.52722237
683, Polar Bear,"(63.7485936, -68.5272223668442)",63.7485936,-68.52722237
684, Polar Bear,"(63.7485936, -68.5272223668442)",63.7485936,-68.52722237
493, Polar Bear,"(63.7485936, -68.5272223668442)",63.7485936,-68.52722237
494, Polar Bear,"(63.7485936, -68.5272223668442)",63.7485936,-68.52722237
873, Polar Bear,"(63.7485936, -68.5272223668442)",63.7485936,-68.52722237
874, Polar Bear,"(63.7485936, -68.5272223668442)",63.7485936,-68.52722237
778, Polar Bear,"(63.7485936, -68.5272223668442)",63.7485936,-68.52722237
779, Polar Bear,"(63.7485936, -68.5272223668442)",63.7485936,-68.52722237
150, Polar Bear,"(63.7485936, -68.5272223668442)",63.7485936,-68.52722237
152, Polar Bear,"(63.7485936, -68.5272223668442)",63.7485936,-68.52722237
153, Polar Bear,"(63.7485936, -68.5272223668442)",63.7485936,-68.52722237
155, Polar Bear,"(63.7485936, -68.5272223668442)",63.7485936,-68.52722237
120, Polar Bear,"(63.7485936, -68.5272223668442)",63.7485936,-68.52722237
121, Polar Bear,"(63.7485936, -68.5272223668442)",63.7485936,-68.52722237
122, Polar Bear,"(63.7485936, -68.5272223668442)",63.7485936,-68.52722237
173, Polar Bear,"(63.7485936, -68.5272223668442)",63.7485936,-68.52722237
175, Polar Bear,"(63.7485936, -68.5272223668442)",63.7485936,-68.52722237
181, Polar Bear,"(63.7485936, -68.5272223668442)",63.7485936,-68.52722237
189, Polar Bear,"(63.7485936, -68.5272223668442)",63.7485936,-68.52722237
191, Polar Bear,"(63.7485936, -68.5272223668442)",63.7485936,-68.52722237
26, Polar Bear,"(63.7485936, -68.5272223668442)",63.7485936,-68.52722237
1, Polar Bear,"(63.7485936, -68.5272223668442)",63.7485936,-68.52722237
106, Polar Bear,"(63.7485936, -68.5272223668442)",63.7485936,-68.52722237
66, Polar Bear,"(63.7485936, -68.5272223668442)",63.7485936,-68.52722237
74, Polar Bear,"(63.7485936, -68.5272223668442)",63.7485936,-68.52722237
80, Polar Bear,"(63.7485936, -68.5272223668442)",63.7485936,-68.52722237
81, Polar Bear,"(63.7485936, -68.5272223668442)",63.7485936,-68.52722237
381, Polar Bear,"(63.7485936, -68.5272223668442)",63.7485936,-68.52722237
390, Polar Bear,"(63.7485936, -68.5272223668442)",63.7485936,-68.52722237
392, Polar Bear,"(63.7485936, -68.5272223668442)",63.7485936,-68.52722237
394, Polar Bear,"(63.7485936, -68.5272223668442)",63.7485936,-68.52722237
395, Polar Bear,"(63.7485936, -68.5272223668442)",63.7485936,-68.52722237
399, Polar Bear,"(63.7485936, -68.5272223668442)",63.7485936,-68.52722237
380, Polar Bear,"(63.7485936, -68.5272223668442)",63.7485936,-68.52722237
379, Polar Bear,"(63.7485936, -68.5272223668442)",63.7485936,-68.52722237
352, Polar Bear,"(63.7485936, -68.5272223668442)",63.7485936,-68.52722237
362, Polar Bear,"(63.7485936, -68.5272223668442)",63.7485936,-68.52722237
369, Polar Bear,"(63.7485936, -68.5272223668442)",63.7485936,-68.52722237
452, Polar Bear,"(63.7485936, -68.5272223668442)",63.7485936,-68.52722237
275, Polar Bear,"(63.7485936, -68.5272223668442)",63.7485936,-68.52722237
